datum,dag,tijd,team,tegenstander,veld,wedstrijdnummer,scheidsrechter,opmerking,locatie
2026-05-09,ZA,12:30,Rotterdam Unicorns - MHU21-1,Scimitars Midden Nederland - MHU21-1,Stadion,452555,,,thuis
2026-05-09,ZA,14:00,Neptunus - VS-1,Onze Gezellen - VS-1,D1,452230,,,thuis
2026-05-09,ZA,16:10,Neptunus - VS-1,Onze Gezellen - VS-1,D1,452260,,,thuis
2026-05-09,ZA,10:00,Rotterdam Unicorns - MHU15-1,Scimitars Midden Nederland - MHU15-1,D3,452592,,,thuis
2026-05-09,ZA,12:30,Rotterdam Unicorns - MHU15-1,Scimitars Midden Nederland - MHU15-1,D3,452604,,,thuis
2026-05-09,ZA,15:00,Neptunus - VS-3,Red Lions - VS-3,D3,480944,VSU21-1,,thuis
2026-05-10,ZO,10:30,Neptunus - VS-2,RCH-Pinguins - VS-1,D1,474011,MS-1,,thuis
2026-05-10,ZO,14:00,Neptunus - VSU21-1,Tex Town Tigers - VSU21-1,D1,479317,bond,,thuis
2026-05-10,ZO,15:50,Neptunus - VSU21-1,Tex Town Tigers - VSU21-1,D1,479261,bond,,thuis
2026-05-10,ZO,10:00,Neptunus - MHU21-1,Euro Stars - MHU21-2,D2,475778,MH-3,eurostars teruggetrokken,thuis
2026-05-10,ZO,14:00,Neptunus - MH-3,Stags - MH-1,D2,472135,MH-4,,thuis
2026-05-13,WO,19:00,Neptunus - MHU15-1,Amsterdam Pirates - MHU15-1,D1,482400,MH-4,,thuis
2026-05-14,DO,14:00,Neptunus - VS-1,Olympia Haarlem - VS-1,D1,452233,,,thuis
2026-05-14,DO,16:10,Neptunus - VS-1,Olympia Haarlem - VS-1,D1,452263,,,thuis
2026-05-14,DO,19:30,Blue Birds - MH-1,Neptunus - MH-3,D2,472131,door Blue Birds,"Na overleg op trainingsavond MH-3, bij Neptunus",thuis
2026-05-14,DO,10:00,Neptunus - MHU15-2,Orioles - MHU15-2,D3,477043,VS-2,(Orioles geen team 3-5),thuis
2026-05-16,ZA,12:00,Neptunus - MH-1,Kinheim - MH-1,Stadion,451807,,,thuis
2026-05-16,ZA,14:30,Neptunus - MH-1,Kinheim - MH-1,Stadion,451810,,,thuis
2026-05-16,ZA,9:30,Neptunus - MBeeBallU12-1,Portland Poema's - MBeeBallU12-1,D1,480455,,,thuis
2026-05-16,ZA,12:00,Neptunus - MHU15-1,Storks - MHU15-1,D1,482411,MHU21-1,,thuis
2026-05-16,ZA,15:00,Neptunus - VS-3,Wizards of Boz - VS-1,D1,480947,VSU21-1,,thuis
2026-05-16,ZA,9:30,Neptunus - MBeeBallU12-3,Wassenaar - MBeeBallU12-3,D3,480680,,,thuis
2026-05-16,ZA,11:00,Neptunus - MBeeBallU12-2,Zwijndrecht - MBeeBallU12-1,D3,480453,,,thuis
2026-05-17,ZO,14:00,Neptunus - MH-2,Twins - MH-2,Stadion,451993,,,thuis
2026-05-17,ZO,10:00,Neptunus - MHU12-1,UVV - MHU12-1,D1,477911,MHU15-1,,thuis
2026-05-17,ZO,11:25,Neptunus - MHU12-1,UVV - MHU12-1,D1,477983,MHU15-1,,thuis
2026-05-17,ZO,14:00,Neptunus - VSU21-1,Kinheim - VSU21-1,D1,479264,bond,,thuis
2026-05-17,ZO,15:50,Neptunus - VSU21-1,Kinheim - VSU21-1,D1,479320,bond,,thuis
2026-05-17,ZO,10:00,Neptunus - VS-2,Urban 010 - VS-1,D3,474014,MS-1,,thuis
2026-05-17,ZO,13:00,Neptunus - MHU12-2,Grizzlies - MHU12-2,D3,478217,MHU15-2,,thuis
2026-05-17,ZO,15:30,Neptunus - MHU15-2,Storks - MHU15-2,D3,477054,MH-4,,thuis
2026-05-27,WO,18:30,Neptunus - MHU12-2,Alphians - MHU12-1,D1,478206,MHU15-2,,thuis
2026-05-28,DO,19:30,Neptunus - MH-1,Amsterdam Pirates - MH-1,Stadion,451813,,,thuis
2026-05-29,VR,19:30,Neptunus - MH-2,Amsterdam Pirates - MH-2,Stadion,451933,,,thuis
2026-05-29,VR,19:30,Neptunus - MS-1,Wizards of Boz - MS-1,D1,474836,Ard,,thuis
2026-05-30,ZA,n.n.b.,,,Alle velden,,,,thuis
2026-05-31,ZO,10:00,Neptunus - MHU15-2,Schiedam - MHU15-1,D1,477058,MHU21-1,,thuis
2026-06-02,DI,n.n.b.,Procter & Gamble,,D1,Clinic,,via Karin,thuis
2026-06-04,DO,19:30,Neptunus - MH-1,Twins - MH-1,Stadion,451823,,,thuis
2026-06-06,ZA,10:00,Rotterdam Unicorns - MHU21-1,,Stadion,,,9 innings,thuis
2026-06-06,ZA,10:00,BB/Nept VSU15-1,Amsterdam Pirates VSU15-1,D1,479818,VS-2,,thuis
2026-06-06,ZA,12:00,BB/Nept VSU15-1,Amsterdam Pirates VSU15-1,D1,481207,VS-2,,thuis
2026-06-06,ZA,14:00,Neptunus - VS-3,Alphians - VS-1,D1,480953,VSU21-1,"tegenstander geen team, 16/6 20:30",thuis
2026-06-06,ZA,10:00,Rotterdam Unicorns - MHU15-1,,D3,,,9 innings,thuis
2026-06-07,ZO,14:00,Neptunus - MH-2,Sparks Haarlem - MH-1,Stadion,452032,,,thuis
2026-06-07,ZO,10:00,Neptunus - MHU12-1,Kinheim - MHU12-1,D1,477920,MHU15-1,,thuis
2026-06-07,ZO,11:25,Neptunus - MHU12-1,Kinheim - MHU12-1,D1,477992,MHU15-1,,thuis
2026-06-07,ZO,14:00,Neptunus - VSU21-1,Hoofddorp Pioniers - VSU21-1,D1,479245,bond,,thuis
2026-06-07,ZO,15:50,Neptunus - VSU21-1,Hoofddorp Pioniers - VSU21-1,D1,479301,bond,,thuis
2026-06-07,ZO,12:00,Neptunus - MHU12-2,Portland Poema's - MHU12-1,D3,478229,MHU15-1,,thuis
2026-06-12,VR,19:30,Neptunus - MH-2,HCAW - MH-2,Stadion,451946,,,thuis
2026-06-12,VR,19:30,Neptunus - MS-1,The Hawks - MS-1,D1,474842,Ard,,thuis
2026-06-12,VR,19:30,Neptunus - MH-4,The Hawks - MH-3,D2,482906,Henk,,thuis
2026-06-13,ZA,12:00,Neptunus - MH-1,HCAW - MH-1,Stadion,451835,,,thuis
2026-06-13,ZA,14:30,Neptunus - MH-1,HCAW - MH-1,Stadion,451838,,,thuis
2026-06-13,ZA,10:00,Neptunus - MHU15-1,Euro Stars - MHU15-1,D1,482424,MH-3,,thuis
2026-06-13,ZA,14:00,Neptunus - VS-3,Euro Stars - VS-3,D1,480956,VSU21-1,,thuis
2026-06-13,ZA,9:30,Neptunus - MBeeBallU12-3,The Hawks - MBeeBallU12-2,D3,480689,,,thuis
2026-06-13,ZA,11:00,Neptunus - MBeeBallU12-2,Portland Poema's - MBeeBallU12-1,D3,480460,,,thuis
2026-06-14,ZO,10:30,Neptunus - VS-2,Orioles - VS-1,D1,474027,MHU21-1,,thuis
2026-06-14,ZO,14:00,Neptunus - VSU21-1,Onze Gezellen - VSU21-1,D1,479277,bond,,thuis
2026-06-14,ZO,15:50,Neptunus - VSU21-1,Onze Gezellen - VSU21-1,D1,479333,bond,,thuis
2026-06-14,ZO,10:00,Neptunus - MHU15-2,Grizzlies - MHU15-2,D3,477067,MHU21-1,,thuis
2026-06-18,DO,19:30,Neptunus - MH-1,Hoofddorp Pioniers - MH-1,Stadion,451840,,,thuis
2026-06-19,VR,19:30,Neptunus - MS-1,Spikes - MS-3,D1,474830,Ard,,thuis
2026-06-19,VR,19:30,Neptunus - MH-4,Alphians - MH-2,D2,482911,Henk,,thuis
2026-06-20,ZA,9:30,Neptunus - MBeeBallU12-1,Neptunus - MBeeBallU12-2,D1,480463,,,thuis
2026-06-21,ZO,14:00,Neptunus - MH-2,Thamen - MH-1,Stadion,452019,,,thuis
2026-06-21,ZO,10:00,Neptunus - MHU15-2,Blue Birds - MHU15-1,D1,477072,VS-2,,thuis
2026-06-21,ZO,12:00,BB/Nept VSU21-1,Quick Amersfoort VSU21-1,D1,479414,MS-1,,thuis
2026-06-21,ZO,14:00,BB/Nept VSU21-1,Quick Amersfoort VSU21-1,D1,479384,MS-1,,thuis
2026-06-21,ZO,14:00,Neptunus - MHU12-2,Catch - MHU12-1,D3,478235,MHU15-2,,thuis
2026-06-24,WO,19:00,Neptunus - MH-3,The Hawks - MH-2,D2,472160,MH-4,midweekse speelronde.,thuis
2026-06-26,VR,19:30,Neptunus - MS-1,Urban 010 - MS-1,D1,474848,Ard,,thuis
2026-06-27,ZA,9:30,Neptunus - MBeeBallU12-3,Storks - MBeeBallU12-3,Stadion,480698,,outfield stadion,thuis
2026-06-27,ZA,14:00,Neptunus - MH-2,Storks - MH-1,Stadion,451960,,,thuis
2026-06-27,ZA,9:30,Neptunus - MBeeBallU12-1,Schiedam - MBeeBallU12-1,D1,480466,,,thuis
2026-06-27,ZA,11:30,Neptunus - MHU12-3,Hellevoet Athletics - MHU12-1,D1,478915,MHU15-1,,thuis
2026-06-27,ZA,14:00,Neptunus - MHU15-1,Brasschaat Braves - MHU15-1,D1,482432,MHU21-1,,thuis
2026-06-27,ZA,10:00,Rotterdam Unicorns - MHU21-1,Kennemerland Rabbits - MHU21-1,D2,475648,,,thuis
2026-06-27,ZA,12:30,Rotterdam Unicorns - MHU21-1,Kennemerland Rabbits - MHU21-1,D2,475657,,,thuis
2026-06-27,ZA,10:00,Rotterdam Unicorns - MHU15-1,Kennemerland Rabbits - MHU15-1,D3,475668,,,thuis
2026-06-27,ZA,12:30,Rotterdam Unicorns - MHU15-1,Kennemerland Rabbits - MHU15-1,D3,475677,,,thuis
2026-06-27,ZA,15:00,Neptunus - VS-3,Wizards of Boz - VS-1,D3,480977,VSU21-1,,thuis
2026-06-28,ZO,10:30,Neptunus - VS-2,Blue Birds - VS-1,D1,474035,MS-1,,thuis
2026-06-28,ZO,14:00,Neptunus - VSU21-1,Jeka - VSU21-1,D1,479285,,Jeka teruggetrokken,thuis
2026-06-28,ZO,15:50,Neptunus - VSU21-1,Jeka - VSU21-1,D1,479341,,Jeka teruggetrokken,thuis
2026-06-28,ZO,10:00,Neptunus - MHU21-1,Amsterdam Pirates - MHU21-1,D2,475808,MH-3,,thuis
2026-06-30,DI,19:00,NL Team DS,Chinese Taipei,D1,,,,thuis
2026-07-03,VR,19:30,Neptunus - MH-4,Ridderkerk Rowdies - MH-3,D2,482930,Henk,,thuis
2026-07-04,ZA,10:00,Neptunus - MHU15-1,Orioles - MHU15-1,D1,482437,MH-3,,thuis
2026-07-04,ZA,14:00,Neptunus - VS-3,Catch - VS-2,D1,480965,VSU21-1,CHECK wedstrijd naar D1 later?,thuis
2026-07-04,ZA,11:00,BB/Nept VSU15-1,Tex Town Tigers VSU15-1,D3,481227,VS-2,,thuis
